ratio,lbs
148.8548707753479,3.2
148.8548707753479,3.2
57.00673400673401,3.2
47.108303249097474,3.2
102.3030303030303,3.4
108.34935163996948,3.0
116.80184331797236,3.2
71.51140684410646,3.0
39.25,3.4
109.61175560711524,3.0
107.34549474847982,3.0
106.85777531820698,3.0
33.97959183673469,3.2
117.88018433179724,3.2
116.31683168316832,3.2
115.646288209607,3.0
170.73015873015873,3.2
54.11602209944751,3.2
174.55092592592592,3.2
99.30829420970267,3.4
58.762192490289166,3.4
59.15722543352601,3.4
115.646288209607,3.0
108.34935163996948,3.0
93.61814744801512,3.0
84.42910915934755,3.0
100.11483253588517,3.2
59.0997375328084,3.4
105.54683118339877,3.0
111.42487046632124,3.2
58.274093722369585,3.4
95.63240628778718,3.0
95.63240628778718,3.0
33.217540842648326,3.0
59.76045939294504,3.4
59.84267631103074,3.4
103.35535428875866,3.0
180.39936608557844,3.0
40.85610640870617,3.0
40.40969696969697,3.4
85.44301699129714,3.0
69.17391304347827,3.4
45.68586387434555,3.2
84.30830039525692,3.2
117.79387186629526,3.4
100.88999008919723,3.0
57.00673400673401,3.2
64.06609914872308,3.4
57.90341578327444,3.4
58.762192490289166,3.4
104.71679473106477,3.0
57.8125,3.4
167.09287257019437,3.2
107.40929535232384,3.0
58.16965352449223,3.2
60.56583818085669,3.4
118.73230769230769,3.4
40.81036513545347,3.0
101.82505910165484,3.2
53.473753280839894,3.4
54.27359180687637,3.4
55.377272727272725,3.4
116.84810126582279,3.4
171.57818181818183,3.0
107.08021390374331,3.4
55.990818668706964,3.0
59.76045939294504,3.4
102.27050183598531,3.0
60.99341021416804,3.4
58.58902275769746,3.4
113.08333333333333,3.4
59.26854219948849,3.4
98.35449101796407,3.0
81.75255255255256,3.0
100.55045871559633,3.2
64.91737891737891,3.0
51.18507462686567,3.4
118.61725067385444,3.2
76.01802613789995,3.0
62.779127948534665,3.2
33.632387156817124,3.0
111.99211822660098,3.0
56.8,3.4
47.29681794470527,3.0
64.32835820895522,3.4
59.730496453900706,3.4
105.54683118339877,3.0
34.89805375347544,3.0
